N,Year,Title,Authors,Journal,Impact_factor_2019
49,2018,L’indice d’innovation potentielle (IIP) : un diagnostic de la capacité à innover au service des PME,"Manon Enjolras,Mauricio Camargo,Vincent Boly",revue internationale pme,NA
52,2018,Une approche de conception de systèmes multi-agents dédiés à la gestion des connaissances,"Davy Monticolo,Alex Gabriel,Pedro Chavez Barrios",ingéniérie des systèmes d'information,NA
23,2019,Interface modeling for product‐service system integration,"Elaheh Maleki,Farouk Belkadi,Eric Bonjour,Ali Slayman,Alain Bernard",systems engineering,1
37,2019,Editorial - Special issue on System of Systems Engineering,"Franck Davoine,Eric Bonjour",systems engineering,1
42,2019,Methodology to design ontologies from organizational models: application to creativity workshops,"Gabriel Alex,Barrios Pedro Chavez,Monticolo Davy",ai edam,1.119
25,2019,Design and management of innovation laboratories: Toward a performance assessment tool,"Ferney Osorio,Laurent Dupont,Mauricio Camargo,Pedro Palominos,José Ismael Peña,Miguel Alfaro",creativity and innovation management,2.113
34,2019,Process and resource selection methodology in design for additive manufacturing,"Shervin Kadkhoda-Ahmadi,Alaa Hassan,Elnaz Asadollahi-Yazdi",international journal of advanced manufacturing technology,2.633
38,2019,"Understanding user representations\, a new development path for supporting Smart City policy: Evaluation of the electric car use in Lorraine Region","Laurent Dupont,Julien Hubert,Claudine Guidat,Mauricio Camargo",technological forecasting and social change,5.846
22,2019,"Evaluating air quality by combining stationary\, smart mobile pollution monitoring and data-driven modelling","Adriana Simona Mihăiţă,Laurent Dupont,Olivier Chery,Mauricio Camargo,Chen Cai",journal of cleaner production,7.246
36,2019,Multiobjective optimization for the design of phase III biorefinery sustainable supply chain,"Andrea Teresa Espinoza Pérez,Paulo César Narváez Rincón,Mauricio Camargo,Miguel Domingo Alfaro Marchant",journal of cleaner production,7.246
21,2019,A Step for improving the transition between traditional Project Management to Agile Project Management,"Felipe Sanchez Garzon,Jean-Pierre Micaëlli,Eric Bonjour,Davy Monticolo",the journal of modern project management,NA
24,2019,Challenges for autonomous vehicles (AVs) engineering: Safety validation of functional performance limitations,"Tchoya Florence Koné,Eric Bonjour,Eric Levrat,Frédérique Mayer,Stéphane Géronimi",insight - international council on systems engineering (incose),NA
