uri_s,title_s,authFullName_s,docType_s,doiId_s,publicationDateY_i,producedDate_s,journalTitle_s,journalPublisher_s,conferenceTitle_s,language_s
https://hal.univ-lorraine.fr/hal-01812007,Contribution to the objective assessment of technical skills for surgery students: An accelerometer based approach,"Giovanny Arbelaez Garces,David Joseph,Mauricio Camargo,Nguyen Tran,Laure Morel",ART,10.1016/j.ergon.2017.12.002,2018,2018-03,International Journal of Industrial Ergonomics,Elsevier,,en
https://hal.univ-lorraine.fr/hal-02266212,A referential framework for the choice of prototypes in the design phase of a mobile application,"Samuel Marie-Rose,Giovanny Arbelaez Garces,Mauricio Camargo",COMM,10.1109/ICE.2019.8792568,2019,2019-06-17,,,"2019 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",en
https://hal.archives-ouvertes.fr/hal-02307769,Immersive Collaborative Innovation,"Laurent Dupont,Giovanny Arbelaez Garces",COMM,,2019,2019-09-23,,,"Tohoku University / Lorraine University seminar - Health, Technology, and Humanities in the XXI Century",en
https://hal.univ-lorraine.fr/hal-01522502,An acceptability estimation and analysis methodology based on Bayesian networks,"Giovanny Arbelaez Garces,Auguste Rakotondranaivo,Eric Bonjour",ART,10.1016/j.ergon.2016.02.005,2016,2016-05,International Journal of Industrial Ergonomics,Elsevier,,en
https://hal.univ-lorraine.fr/hal-01523218,"New product acceptability evaluation and improvement model with knowledge reuse**This work is financed by a grant from the French Ministry of Higher Education and Research (Ministere de l’Enseignement superieur et de 1a Recherche\, MESR).","Giovanny Arbelaez Garces,Eric Bonjour,Auguste Rakotondranaivo",COMM,10.1016/j.ifacol.2016.07.639,2016,2016-06-28,,,"8th IFAC Conference on Manufacturing Modeling, Management & Control",en
https://hal.univ-lorraine.fr/hal-01522767,Towards a method for acceptability analysis: Application to healthcare innovation,"Giovanny Arbelaez Garces,Eric Bonjour,Auguste Rakotondranaivo",COMM,10.1109/ICE.2014.6871583,2014,2014-06-23,,,"International ICE Conference on Engineering, Technology and Innovation (ICE), 2014",en
https://hal.archives-ouvertes.fr/hal-02540404,Industrial Symbiosis and Territorial Development: The Cross-Fertilization of Proximity Dynamics and the Role of Information and Knowledge Flows,Fedoua Kasmi,ART,10.1007/s13132-020-00631-7,2020,2020-01-28,Journal of the Knowledge Economy,Springer,,en
https://hal.univ-lorraine.fr/hal-03024062,"“Do-It-Together” and innovation\, towards the Factories of the Future (FoF)","Laurent Dupont,Fedoua Kasmi,Joshua M. Pearce,Roland Ortt",OTHER,,2020,2020-07-01,Journal of Innovation Economics & Management,De Boeck Supérieur,,en
https://hal.archives-ouvertes.fr/hal-03023641,Agility and product supply chain design: The case of the Swatch,"Brunelle Marche,Vincent Boly,Laure Morel,Frédérique Mayer,Roland Ortt",ART,,2019,2019,Journal of Innovation Economics & Management,De Boeck Supérieur,,en
https://hal.univ-lorraine.fr/hal-03023080,Developing a territorial diagnostic as part of a living lab process: Implementation to improve management and wood mobilization in small French private forest,"Maxence Arnould,Laure Morel,Meriem Fournier",COMM,,2020,2020-06-15,,,"IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",en
https://hal.archives-ouvertes.fr/hal-01984670,How a semantic Wiki can support the ideas development in innovation activities,"Davy Monticolo,Laure Morel,Vincent Boly",ART,10.1109/ICCISci.2012.6297216,2012,2012,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST",,,en
https://hal.archives-ouvertes.fr/hal-01973288,Agilité et conception de filière : le cas de la montre SWATCH,"Brunelle Marche,Vincent Boly,Laure Morel,Frédérique Mayer,Roland Ortt",ART,10.21494/ISTE.OP.2019.0315,2019,2019-01,Technologie et innovation,ISTE OpenScience,,en
https://hal.univ-lorraine.fr/hal-01522590,"Barriers as determinants of innovation in Morocco: The case of Tangier Tetouan region,Les barrières comme déterminants de l'innovation au Maroc: Cas de la région de Tanger-Tétouan","Lagziri Narjisse,Hicham Achelhi,Mustapha Bennouna,Patrick Truchot",ART,10.24289/ijsser.279070,2013,2013,International Journal of Innovation and Applied Studies,ISSR Journals,,en
https://hal.univ-lorraine.fr/hal-01522602,A Multi Agent System to Manage Ideas during Collaborative Creativity Workshops,"Davy Monticolo,Simona Mihaita",ART,10.7763/IJFCC.2014.V3.269,2014,2014,International Journal of Future Computer and Communication,Prof. Mohamed Othman,,en
https://hal.univ-lorraine.fr/hal-01270994,Optimized Production of Multilayered Monodisperse Polymer Nanoparticles,"Brahim Benyahia,M. Abderrazak Latifi,Christian Fonteix,Fernand Pla",COMM,,2015,2015,,,"12TH INTERNATIONAL SYMPOSIUM ON PROCESS SYSTEMS ENGINEERING (PSE) AND 25TH EUROPEAN SYMPOSIUM ON COMPUTER AIDED PROCESS ENGINEERING (ESCAPE), PT A",en
https://hal.univ-lorraine.fr/hal-01270991,A New Catalytic System for the Photodegradation of Endocrinal Disruptors: Synthesis and Efficiency Modeling and Optimization,"Alma Jasso-Salcedo,Dimitrios Meimaroglou,Mauricio Camargo,Sandrine Hoppe,Fernand Pla,Vladimir Escobar-Barrios",COMM,10.3303/CET1543157,2015,2015,,,ICHEAP12: 12TH INTERNATIONAL CONFERENCE ON CHEMICAL & PROCESS ENGINEERING,en
https://hal.archives-ouvertes.fr/hal-02492205,Innovation Spaces in Universities: Support for Collaborative Learning,"Lorena Delgado,Daniel Galvez,Alaa Hassan,Pedro Palominos,Laure Morel",ART,10.3917/jie.pr1.0064,2019,2019,Journal of Innovation Economics & Management,De Boeck Supérieur,,en
https://hal.archives-ouvertes.fr/hal-02168351,Proposal of a Harmonic Bees Algorithm for Design Optimization of a Gripper Mechanism,"Osman Acar,Mete Kalyoncu,Alaa Hassan",COUV,10.1007/978-3-030-20131-9_280,2019,2019-06-14,,,,en
