Year;Type.document;Title;Authors;DOI;Journal;Scimago<br/>Engineering;Scimago<br/>Decision<br/>Sciences;Publisher;Conference;Language;Url;H.Factor
2020;ART;Challenges and trends in the valuation of ecosystem services in agro-ecosystems: a systematic revision;Vadimir Melgarejo-Carreno,Sandra Cecilia Bautista Rodríguez,Mauricio Camargo;NA;tropical and subtropical agroecosystems;NA;NA;NA;NA;en;https://hal.archives-ouvertes.fr/hal-02560166;NA
2020;ART;Closed loop supply chain network for local and distributed plastic recycling for 3D printing: a MILP-based optimization approach;Pavlo Santander,Fabio Cruz Sanchez,Hakim Boudaoud,Mauricio Camargo;10.1016/j.resconrec.2019.104531;resources, conservation and recycling;NA;NA;Elsevier;NA;en;https://hal.archives-ouvertes.fr/hal-02398793;NA
2020;ART;Industrial Symbiosis and Territorial Development: The Cross-Fertilization of Proximity Dynamics and the Role of Information and Knowledge Flows;Fedoua Kasmi;10.1007/s13132-020-00631-7;journal of the knowledge economy;NA;NA;Springer;NA;en;https://hal.archives-ouvertes.fr/hal-02540404;NA
2020;ART;Collaborative spaces promoting creativity and innovation;Sophie Boutillier,Ignasi Capdevila,Laurent Dupont,Laure Morel;10.3917/jie.031.0001;journal of innovation economics & management;NA;NA;De Boeck Supérieur;NA;en;https://hal.archives-ouvertes.fr/hal-02878132;NA
2020;ART;Espaces et nouvelles formes d’organisation du travail créatif;Sophie Boutillier,Ignasi Capdevila,Laurent Dupont,Laure Morel;10.3917/inno.061.0005;innovations - revue d’économie et de management de l'innovation;NA;NA;De Boeck Supérieur;NA;fr;https://hal.archives-ouvertes.fr/hal-02446557;NA
2020;ART;Shaping a Public Innovation Laboratory in Bogota: Learning through Time\, Space and Stakeholders;Ferney Osorio,Laurent Dupont,Mauricio Camargo,Carlos Sandoval,José Ismael Peña;10.3917/jie.pr1.0066;journal of innovation economics & management;NA;NA;De Boeck Supérieur;NA;en;https://hal.archives-ouvertes.fr/hal-02453808;NA
2020;ART;Towards smart and suitable management of roadsides: System dynamics in the era of industry 4.0;Sandra Baustista Rodriguez,Brunelle Marche,Fatima Ezzahra Hamdani,Mauricio Camargo,Frédérique Mayer,Davy Monticolo,Christophe Bachmann;10.1016/j.susoc.2020.12.001;sustainable operations and computers;NA;NA;Elsevier;NA;en;https://hal.archives-ouvertes.fr/hal-03119204;NA
2020;ART;Characterization of Best Practices for Customer/Supplier Collaboration in Co-innovation Projects;Carlos Abraham Moya,Vincent Boly,Laure Morel,Daniel Galvez,Mauricio Camargo;10.4067/S0718-27242020000400005;journal of technology management and innovation;NA;NA;Universidad Alberto Hurtado;NA;en;https://hal.archives-ouvertes.fr/hal-03134714;NA
2020;ART;Towards an improved acceptability assessment model of innovative solutions in the design phase;Linda Acosta Salgado,Auguste Rakotondranaivo,Eric Bonjour;10.1504/IJBIS.2020.10029802;international journal of business information systems;NA;Q2;Inderscience;NA;en;https://hal.archives-ouvertes.fr/hal-02845177;24
2020;ART;Innovation et agilité - identification de stratégies de déploiement pour le développement des PME;Laurent Muller,Carlos Moya,Mauricio Carmago,Stéphane Gouttes;10.3917/proj.026.0037;projectics / proyéctica / projectique;NA;NA;De Boeck Supérieur;NA;fr;https://hal.archives-ouvertes.fr/hal-03085821;NA
2020;ART;Chemical product design integrating MCDA : Performance prediction and human preferences modelling;Oscar Yesid Suárez Palacios,Paulo César Narváez Rincón,Mauricio Camargo,Jean-Pierre Corriou,Christian Fonteix;10.1002/cjce.23956;the canadian journal of chemical engineering;NA;NA;NA;NA;en;https://hal.archives-ouvertes.fr/hal-03033524;NA
