"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold,5 Year JIF,JCI Rank,JCI Quartile,JIF Rank,Immediacy Index,JIF Without Self Cites,5 Year JIF Quartile,JCI Percentile,Eigenfactor
"ENERGY & FUELS","ENERG FUEL","0887-0624","1520-5029","ENGINEERING, CHEMICAL - SCIE","69,078","5.3","Q1","0.66","3.69"%,"4.6"," 50/160 ","Q2"," 28/142 ","1.2","4.6","Q2","69.06","0.042",
"INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY","INT J ADV MANUF TECH","0268-3768","1433-3015","ENGINEERING, MANUFACTURING - SCIE","56,356","3.4","Q3","0.62","10.64"%,"3.4"," 32/66 ","Q2"," 27/50 ","0.7","2.8","Q3","52.27","0.04",
"DESALINATION","DESALINATION","0011-9164","1873-4464","ENGINEERING, CHEMICAL - SCIE","55,616","9.9","Q1","1.93","10.23"%,"9.7"," 8/160 ","Q1"," 10/142 ","2.1","7.9","Q1","95.31","0.021",
"BUILDING AND ENVIRONMENT","BUILD ENVIRON","0360-1323","1873-684X","ENGINEERING, ENVIRONMENTAL - SCIE","53,430","7.4","Q2","1.23","15.95"%,"7.6"," 10/75 ","Q1"," 14/55 ","2","5.7","Q1","87.33","0.031",
"JOURNAL OF CATALYSIS","J CATAL","0021-9517","1090-2694","ENGINEERING, CHEMICAL - SCIE","52,449","7.3","Q1","1.12","18.81"%,"7.7"," 20/160 ","Q1"," 20/142 ","1.7","6.9","Q1","87.81","0.027",
"CHEMICAL ENGINEERING SCIENCE","CHEM ENG SCI","0009-2509","1873-4405","ENGINEERING, CHEMICAL - SCIE","52,131","4.7","Q2","0.75","10.8"%,"4.4"," 42/160 ","Q2"," 37/142 ","0.9","4.3","Q2","74.06","0.024",
"Waste Management","WASTE MANAGE","0956-053X","1879-2456","ENGINEERING, ENVIRONMENTAL - SCIE","51,084","8.1","Q1","1.15","13.71"%,"8.7"," 11/75 ","Q1"," 10/55 ","1.8","7.6","Q1","86.00","0.033",
"Journal of Environmental Chemical Engineering","J ENVIRON CHEM ENG","2213-2929","2213-3437","ENGINEERING, CHEMICAL - SCIE","50,378","7.7","Q1","0.94","5.78"%,"7.3"," 32/160 ","Q1"," 16/142 ","1.7","7.2","Q1","80.31","0.043",
"Journal of Environmental Chemical Engineering","J ENVIRON CHEM ENG","2213-2929","2213-3437","ENGINEERING, ENVIRONMENTAL - SCIE","50,378","7.7","Q1","0.94","5.78"%,"7.3"," 19/75 ","Q1"," 12/55 ","1.7","7.2","Q2","75.33","0.043",
"POWDER TECHNOLOGY","POWDER TECHNOL","0032-5910","1873-328X","ENGINEERING, CHEMICAL - SCIE","49,101","5.2","Q1","0.86","9.95"%,"5"," 34/160 ","Q1"," 31/142 ","1.4","4.4","Q1","79.06","0.031",
"MECHANICAL SYSTEMS AND SIGNAL PROCESSING","MECH SYST SIGNAL PR","0888-3270","1096-1216","ENGINEERING, MECHANICAL - SCIE","49,000","8.4","Q1","2.34","8.71"%,"8.3"," 2/179 ","Q1"," 5/136 ","1.9","7.3","Q1","99.16","0.052",
"IEEE Transactions on Industrial Informatics","IEEE T IND INFORM","1551-3203","1941-0050","ENGINEERING, INDUSTRIAL - SCIE","47,728","12.3","Q1","2.5","4.86"%,"11.9"," 1/68 ","Q1"," 3/50 ","5.7","11.2","Q1","99.26","0.069",
"COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING","COMPUT METHOD APPL M","0045-7825","1879-2138","ENGINEERING, MULTIDISCIPLINARY - SCIE","47,448","7.2","Q1","2.11","27.65"%,"6.8"," 7/178 ","Q1"," 7/90 ","1.5","6.1","Q1","96.35","0.043",
"JOURNAL OF SOUND AND VIBRATION","J SOUND VIB","0022-460X","1095-8568","ENGINEERING, MECHANICAL - SCIE","46,910","4.7","Q1","1.28","17.27"%,"4.6"," 19/179 ","Q1"," 25/136 ","1","4.2","Q1","89.66","0.024",
"RESOURCES CONSERVATION AND RECYCLING","RESOUR CONSERV RECY","0921-3449","1879-0658","ENGINEERING, ENVIRONMENTAL - SCIE","44,781","13.2","Q1","1.66","22.03"%,"13.4"," 5/75 ","Q1"," 5/55 ","2.8","12.4","Q1","94.00","0.042",
"JOURNAL OF MATERIALS PROCESSING TECHNOLOGY","J MATER PROCESS TECH","0924-0136","1873-4774","ENGINEERING, INDUSTRIAL - SCIE","44,151","6.3","Q2","1.22","9.67"%,"6.2"," 13/68 ","Q1"," 13/50 ","2","6","Q2","81.62","0.02",
"JOURNAL OF MATERIALS PROCESSING TECHNOLOGY","J MATER PROCESS TECH","0924-0136","1873-4774","ENGINEERING, MANUFACTURING - SCIE","44,151","6.3","Q2","1.22","9.67"%,"6.2"," 14/66 ","Q1"," 14/50 ","2","6","Q2","79.55","0.02",
"CATALYSIS TODAY","CATAL TODAY","0920-5861","1873-4308","ENGINEERING, CHEMICAL - SCIE","42,067","5.3","Q1","1","11.27"%,"5.4"," 26/160 ","Q1"," 28/142 ","2","5.1","Q1","84.06","0.023",
"COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING","COMPOS PART A-APPL S","1359-835X","1878-5840","ENGINEERING, MANUFACTURING - SCIE","38,747","8.7","Q1","1.55","12.37"%,"8.7"," 7/66 ","Q1"," 9/50 ","2","8.2","Q1","90.15","0.024",
"MEASUREMENT","MEASUREMENT","0263-2241","1873-412X","ENGINEERING, MULTIDISCIPLINARY - SCIE","38,427","5.6","Q1","1.63","7.41"%,"5"," 17/178 ","Q1"," 16/90 ","1.3","4.9","Q1","90.73","0.038",
"INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS","INT J PROD ECON","0925-5273","1873-7579","ENGINEERING, INDUSTRIAL - SCIE","37,217","12","Q1","2.14","13.01"%,"11"," 3/68 ","Q1"," 5/50 ","2.2","11.1","Q1","96.32","0.023",
"INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS","INT J PROD ECON","0925-5273","1873-7579","ENGINEERING, MANUFACTURING - SCIE","37,217","12","Q1","2.14","13.01"%,"11"," 3/66 ","Q1"," 4/50 ","2.2","11.1","Q1","96.21","0.023",
"INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH","INT J PROD RES","0020-7543","1366-588X","ENGINEERING, INDUSTRIAL - SCIE","37,041","9.2","Q1","1.46","7.79"%,"8.8"," 8/68 ","Q1"," 7/50 ","1.4","7.9","Q1","88.97","0.028",
"INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH","INT J PROD RES","0020-7543","1366-588X","ENGINEERING, MANUFACTURING - SCIE","37,041","9.2","Q1","1.46","7.79"%,"8.8"," 8/66 ","Q1"," 8/50 ","1.4","7.9","Q1","88.64","0.028",
"WEAR","WEAR","0043-1648","1873-2577","ENGINEERING, MECHANICAL - SCIE","36,725","5","Q1","1.04","12.22"%,"4.8"," 27/179 ","Q1"," 23/136 ","1","4.6","Q1","85.20","0.015",
"JOURNAL OF FOOD ENGINEERING","J FOOD ENG","0260-8774","1873-5770","ENGINEERING, CHEMICAL - SCIE","33,881","5.5","Q1","1.16","19.07"%,"5.7"," 17/160 ","Q1"," 26/142 ","1.3","5.2","Q1","89.69","0.012",
"NONLINEAR DYNAMICS","NONLINEAR DYNAM","0924-090X","1573-269X","ENGINEERING, MECHANICAL - SCIE","33,576","5.6","Q1","1.38","10.11"%,"5.1"," 14/179 ","Q1"," 15/136 ","1.4","4.6","Q1","92.46","0.032",
"IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS","IEEE T IND APPL","0093-9994","1939-9367","ENGINEERING, MULTIDISCIPLINARY - SCIE","32,429","4.4","Q2","1.31","4.49"%,"4.6"," 23/178 ","Q1"," 23/90 ","1.2","4","Q1","87.36","0.033",
"Computers & Industrial Engineering","COMPUT IND ENG","0360-8352","1879-0550","ENGINEERING, INDUSTRIAL - SCIE","32,278","7.9","Q1","1.31","5.24"%,"7.3"," 12/68 ","Q1"," 10/50 ","1.6","6.9","Q1","83.09","0.03",
"INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES","INT J MECH SCI","0020-7403","1879-2162","ENGINEERING, MECHANICAL - SCIE","31,747","7.3","Q1","1.82","8.17"%,"6.6"," 6/179 ","Q1"," 7/136 ","1.6","6","Q1","96.93","0.03",
"Additive Manufacturing","ADDIT MANUF","2214-8604","2214-7810","ENGINEERING, MANUFACTURING - SCIE","31,212","11","Q1","1.96","31.35"%,"13"," 5/66 ","Q1"," 5/50 ","2.4","9.6","Q1","93.18","0.039",
"Combustion and Flame","COMBUST FLAME","0010-2180","1556-2921","ENGINEERING, CHEMICAL - SCIE","31,151","4.4","Q2","1.09","27.91"%,"4.5"," 22/160 ","Q1"," 43/142 ","1.1","3.5","Q2","86.56","0.016",
"Combustion and Flame","COMBUST FLAME","0010-2180","1556-2921","ENGINEERING, MECHANICAL - SCIE","31,151","4.4","Q1","1.09","27.91"%,"4.5"," 26/179 ","Q1"," 29/136 ","1.1","3.5","Q1","85.75","0.016",
"Combustion and Flame","COMBUST FLAME","0010-2180","1556-2921","ENGINEERING, MULTIDISCIPLINARY - SCIE","31,151","4.4","Q2","1.09","27.91"%,"4.5"," 29/178 ","Q1"," 23/90 ","1.1","3.5","Q1","83.99","0.016",
"Tribology International","TRIBOL INT","0301-679X","1879-2464","ENGINEERING, MECHANICAL - SCIE","30,462","6.2","Q1","1.67","10.92"%,"5.8"," 9/179 ","Q1"," 12/136 ","1.6","5.2","Q1","95.25","0.021",
"AICHE JOURNAL","AICHE J","0001-1541","1547-5905","ENGINEERING, CHEMICAL - SCIE","30,157","3.7","Q2","0.61","9.67"%,"3.7"," 57/160 ","Q2"," 62/142 ","1.1","3.3","Q2","64.69","0.012",
"RELIABILITY ENGINEERING & SYSTEM SAFETY","RELIAB ENG SYST SAFE","0951-8320","1879-0836","ENGINEERING, INDUSTRIAL - SCIE","30,065","8.1","Q1","1.48","15.05"%,"7.6"," 7/68 ","Q1"," 9/50 ","2.8","4.9","Q1","90.44","0.02",
"THIN-WALLED STRUCTURES","THIN WALL STRUCT","0263-8231","1879-3223","ENGINEERING, MECHANICAL - SCIE","27,718","6.4","Q1","1.49","4.43"%,"5.9"," 11/179 ","Q1"," 9/136 ","1.4","5.1","Q1","94.13","0.023",
"International Journal of Fatigue","INT J FATIGUE","0142-1123","1879-3452","ENGINEERING, MECHANICAL - SCIE","27,629","6","Q1","1.39","14.96"%,"6"," 12/179 ","Q1"," 14/136 ","1.9","4.7","Q1","93.58","0.017",
"Journal of Industrial and Engineering Chemistry","J IND ENG CHEM","1226-086X","1876-794X","ENGINEERING, CHEMICAL - SCIE","27,324","6.1","Q1","0.96","2.56"%,"5.6"," 28/160 ","Q1"," 23/142 ","1.6","5.7","Q1","82.81","0.017",
"APPLIED MATHEMATICAL MODELLING","APPL MATH MODEL","0307-904X","1872-8480","ENGINEERING, MULTIDISCIPLINARY - SCIE","27,227","5","Q1","1.69","7.43"%,"4.5"," 14/178 ","Q1"," 18/90 ","1.1","4.6","Q1","92.42","0.023",
"FUEL PROCESSING TECHNOLOGY","FUEL PROCESS TECHNOL","0378-3820","1873-7188","ENGINEERING, CHEMICAL - SCIE","26,908","7.5","Q1","1.14","12.19"%,"6.7"," 19/160 ","Q1"," 18/142 ","1.6","6.8","Q1","88.44","0.015",
"Journal of Energy Chemistry","J ENERGY CHEM","2095-4956","2095-4956","ENGINEERING, CHEMICAL - SCIE","26,526","13.1","Q1","1.97","5.16"%,"11.6"," 7/160 ","Q1"," 7/142 ","4.1","12","Q1","95.94","0.033",
"DYES AND PIGMENTS","DYES PIGMENTS","0143-7208","1873-3743","ENGINEERING, CHEMICAL - SCIE","26,267","4.5","Q2","1.08","5.12"%,"3.9"," 24/160 ","Q1"," 40/142 ","1.1","3.9","Q2","85.31","0.019",
"WATER SCIENCE AND TECHNOLOGY","WATER SCI TECHNOL","0273-1223","1996-9732","ENGINEERING, ENVIRONMENTAL - SCIE","25,561","2.7","Q3","0.43","68.97"%,"2.6"," 44/75 ","Q3"," 41/55 ","0.5","2.6","Q4","42.00","0.008",
"JOURNAL OF CHEMICAL AND ENGINEERING DATA","J CHEM ENG DATA","0021-9568","1520-5134","ENGINEERING, CHEMICAL - SCIE","24,683","2.6","Q3","0.49","3.1"%,"2.5"," 72/160 ","Q2"," 83/142 ","0.5","2.1","Q3","55.31","0.009",
"PROCESS SAFETY AND ENVIRONMENTAL PROTECTION","PROCESS SAF ENVIRON","0957-5820","1744-3598","ENGINEERING, CHEMICAL - SCIE","23,661","7.8","Q1","0.98","3.74"%,"7.5"," 27/160 ","Q1"," 15/142 ","1.7","6.6","Q1","83.44","0.02",
"PROCESS SAFETY AND ENVIRONMENTAL PROTECTION","PROCESS SAF ENVIRON","0957-5820","1744-3598","ENGINEERING, ENVIRONMENTAL - SCIE","23,661","7.8","Q1","0.98","3.74"%,"7.5"," 16/75 ","Q1"," 11/55 ","1.7","6.6","Q2","79.33","0.02",
"ECOLOGICAL ENGINEERING","ECOL ENG","0925-8574","1872-6992","ENGINEERING, ENVIRONMENTAL - SCIE","23,129","3.8","Q3","0.71","15.72"%,"4.3"," 30/75 ","Q2"," 34/55 ","1.1","3.6","Q3","60.67","0.011",
